story,gen,ind,model,temp,valid,validation,fitness,time_llm,time_lean,sgm_sd_sum,sgm_max,lcom_avg,coupling_max
g02-federalspending,5,9,gpt-5.1,0.5,True,,32.561,28.29,2.68,15.287,5.0,0.274,12.0
g03-loudoun,1,0,gemini-3.1-pro-preview,0.5,True,,13.584,60.49,2.88,4.463,6.0,0.121,3.0
g03-loudoun,1,1,gemini-3.1-pro-preview,0.5,True,,12.604,59.05,2.82,3.475,8.0,0.129,1.0
g03-loudoun,1,2,gemini-3.1-pro-preview,0.5,True,,10.004,43.88,3.22,0.871,6.0,0.133,3.0
g03-loudoun,1,3,gemini-3.1-pro-preview,0.5,True,,13.071,43.55,3.14,2.959,9.0,0.112,1.0
g03-loudoun,1,4,gemini-3.1-pro-preview,0.5,True,,11.858,39.07,2.87,1.623,8.0,0.235,2.0
g03-loudoun,1,5,gemini-3.1-pro-preview,0.5,True,,12.908,55.22,3.3,2.759,8.0,0.149,2.0
g03-loudoun,1,6,gemini-3.1-pro-preview,0.5,True,,11.943,76.18,5.83,0.821,8.0,0.122,3.0
g03-loudoun,1,7,gemini-3.1-pro-preview,0.5,True,,14.125,57.63,3.38,3.003,7.0,0.122,4.0
g03-loudoun,1,8,gemini-3.1-pro-preview,0.5,True,,13.939,51.77,2.91,2.826,8.0,0.113,3.0
g03-loudoun,1,9,gemini-3.1-pro-preview,0.5,True,,15.748,53.36,2.74,3.638,9.0,0.11,3.0
g03-loudoun,2,0,gemini-3.1-pro-preview,0.5,True,,10.004,0.0,0.0,0.871,6.0,0.133,3.0
g03-loudoun,2,1,gemini-3.1-pro-preview,0.5,True,,11.858,0.0,0.0,1.623,8.0,0.235,2.0
g03-loudoun,2,2,gemini-3.1-pro-preview,0.5,True,,11.943,0.0,0.0,0.821,8.0,0.122,3.0
g03-loudoun,2,3,gemini-3.1-pro-preview,0.5,True,,12.604,0.0,0.0,3.475,8.0,0.129,1.0
g03-loudoun,2,4,gemini-3.1-pro-preview,0.5,True,,12.908,0.0,0.0,2.759,8.0,0.149,2.0
g03-loudoun,2,5,gemini-3.1-pro-preview,0.5,True,,10.081,63.84,2.85,2.954,5.0,0.127,2.0
g03-loudoun,2,6,gemini-3.1-pro-preview,0.5,True,,10.395,44.34,2.84,2.276,5.0,0.119,3.0
g03-loudoun,2,7,gemini-3.1-pro-preview,0.5,True,,7.522,56.52,3.53,0.4,5.0,0.122,2.0
g03-loudoun,2,8,gemini-3.1-pro-preview,0.5,True,,10.635,73.11,3.54,3.534,5.0,0.101,2.0
g03-loudoun,2,9,gemini-3.1-pro-preview,0.5,True,,9.976,54.25,5.78,1.843,5.0,0.133,3.0
g03-loudoun,3,0,gemini-3.1-pro-preview,0.5,True,,7.522,0.0,0.0,0.4,5.0,0.122,2.0
g03-loudoun,3,1,gemini-3.1-pro-preview,0.5,True,,9.976,0.0,0.0,1.843,5.0,0.133,3.0
g03-loudoun,3,2,gemini-3.1-pro-preview,0.5,True,,10.004,0.0,0.0,0.871,6.0,0.133,3.0
g03-loudoun,3,3,gemini-3.1-pro-preview,0.5,True,,10.081,0.0,0.0,2.954,5.0,0.127,2.0
g03-loudoun,3,4,gemini-3.1-pro-preview,0.5,True,,10.395,0.0,0.0,2.276,5.0,0.119,3.0
g03-loudoun,3,5,gemini-3.1-pro-preview,0.5,True,,9.001999999999999,37.06,5.92,1.843,5.0,0.159,2.0
g03-loudoun,3,6,gemini-3.1-pro-preview,0.5,True,,9.971,37.86,2.8,1.843,5.0,0.128,3.0
g03-loudoun,3,7,gemini-3.1-pro-preview,0.5,True,,7.576,46.78,5.69,0.433,5.0,0.143,2.0
g03-loudoun,3,8,gemini-3.1-pro-preview,0.5,True,,9.008,46.57,2.75,0.904,5.0,0.104,3.0
g03-loudoun,3,9,gemini-3.1-pro-preview,0.5,True,,8.56,43.81,2.68,0.4,5.0,0.16,3.0
g03-loudoun,4,0,gemini-3.1-pro-preview,0.5,True,,7.522,0.0,0.0,0.4,5.0,0.122,2.0
g03-loudoun,4,1,gemini-3.1-pro-preview,0.5,True,,7.576,0.0,0.0,0.433,5.0,0.143,2.0
g03-loudoun,4,2,gemini-3.1-pro-preview,0.5,True,,8.56,0.0,0.0,0.4,5.0,0.16,3.0
g03-loudoun,4,3,gemini-3.1-pro-preview,0.5,True,,9.001999999999999,0.0,0.0,1.843,5.0,0.159,2.0
g03-loudoun,4,4,gemini-3.1-pro-preview,0.5,True,,9.008,0.0,0.0,0.904,5.0,0.104,3.0
g03-loudoun,4,5,gemini-3.1-pro-preview,0.5,True,,8.573,56.89,2.67,0.4,5.0,0.173,3.0
g03-loudoun,4,6,gemini-3.1-pro-preview,0.5,True,,8.56,37.85,2.67,0.4,5.0,0.16,3.0
g03-loudoun,4,7,gemini-3.1-pro-preview,0.5,True,,7.558,57.69,2.71,0.433,5.0,0.125,2.0
g03-loudoun,4,8,gemini-3.1-pro-preview,0.5,True,,8.58,37.42,5.39,0.4,5.0,0.18,3.0
g03-loudoun,4,9,gemini-3.1-pro-preview,0.5,True,,7.573,40.58,2.89,0.4,5.0,0.173,2.0
g03-loudoun,5,0,gemini-3.1-pro-preview,0.5,True,,7.522,0.0,0.0,0.4,5.0,0.122,2.0
g03-loudoun,5,1,gemini-3.1-pro-preview,0.5,True,,7.558,0.0,0.0,0.433,5.0,0.125,2.0
g03-loudoun,5,2,gemini-3.1-pro-preview,0.5,True,,7.573,0.0,0.0,0.4,5.0,0.173,2.0
g03-loudoun,5,3,gemini-3.1-pro-preview,0.5,True,,7.576,0.0,0.0,0.433,5.0,0.143,2.0
g03-loudoun,5,4,gemini-3.1-pro-preview,0.5,True,,8.56,0.0,0.0,0.4,5.0,0.16,3.0
g03-loudoun,5,5,gemini-3.1-pro-preview,0.5,True,,7.547000000000001,38.14,2.84,0.4,5.0,0.147,2.0
g03-loudoun,5,6,gemini-3.1-pro-preview,0.5,True,,7.573,40.63,2.76,0.4,5.0,0.173,2.0
g03-loudoun,5,7,gemini-3.1-pro-preview,0.5,True,,7.573,42.06,5.69,0.4,5.0,0.173,2.0
g03-loudoun,5,8,gemini-3.1-pro-preview,0.5,True,,7.576,47.74,3.03,0.433,5.0,0.143,2.0
g03-loudoun,5,9,gemini-3.1-pro-preview,0.5,True,,7.573,39.58,2.89,0.4,5.0,0.173,2.0
g03-loudoun,1,0,gpt-5.1,0.5,True,,41.501000000000005,24.79,2.75,19.312,17.0,0.189,5.0
g03-loudoun,1,1,gpt-5.1,0.5,True,,29.746,29.56,3.15,16.563,8.0,0.183,5.0
g03-loudoun,1,2,gpt-5.1,0.5,True,,44.703,32.35,2.62,18.45,14.0,0.253,12.0
g03-loudoun,1,3,gpt-5.1,0.5,True,,43.741,25.33,2.69,21.476,13.0,0.265,9.0
g03-loudoun,1,4,gpt-5.1,0.5,True,,50.781,34.26,5.8,21.531,14.0,0.25,15.0
g03-loudoun,1,5,gpt-5.1,0.5,True,,28.200000000000003,26.14,2.77,12.935,9.0,0.265,6.0
g03-loudoun,1,6,gpt-5.1,0.5,True,,27.921,26.47,2.14,10.611,10.0,0.31,7.0
g03-loudoun,1,7,gpt-5.1,0.5,True,,25.412,29.4,2.72,11.161,11.0,0.251,3.0
g03-loudoun,1,8,gpt-5.1,0.5,True,,50.217,30.75,2.8,19.934,18.0,0.283,12.0
g03-loudoun,1,9,gpt-5.1,0.5,True,,29.378,24.51,2.72,13.283,11.0,0.095,5.0
g03-loudoun,2,0,gpt-5.1,0.5,True,,25.412,0.0,0.0,11.161,11.0,0.251,3.0
g03-loudoun,2,1,gpt-5.1,0.5,True,,27.921,0.0,0.0,10.611,10.0,0.31,7.0
g03-loudoun,2,2,gpt-5.1,0.5,True,,28.200000000000003,0.0,0.0,12.935,9.0,0.265,6.0
g03-loudoun,2,3,gpt-5.1,0.5,True,,29.378,0.0,0.0,13.283,11.0,0.095,5.0
g03-loudoun,2,4,gpt-5.1,0.5,True,,29.746,0.0,0.0,16.563,8.0,0.183,5.0
g03-loudoun,2,5,gpt-5.1,0.5,True,,38.142,46.27,2.78,23.945,5.0,0.197,9.0
g03-loudoun,2,6,gpt-5.1,0.5,True,,29.315,25.92,2.35,17.08,5.0,0.235,7.0
g03-loudoun,2,7,gpt-5.1,0.5,True,,39.1,38.55,2.77,21.896,5.0,0.204,12.0
g03-loudoun,2,8,gpt-5.1,0.5,True,,32.739,28.49,2.68,17.499,7.0,0.24,8.0
g03-loudoun,2,9,gpt-5.1,0.5,True,,37.355,36.66,2.77,20.091,5.0,0.264,12.0
g03-loudoun,3,0,gpt-5.1,0.5,True,,25.412,0.0,0.0,11.161,11.0,0.251,3.0
g03-loudoun,3,1,gpt-5.1,0.5,True,,27.921,0.0,0.0,10.611,10.0,0.31,7.0
g03-loudoun,3,2,gpt-5.1,0.5,True,,28.200000000000003,0.0,0.0,12.935,9.0,0.265,6.0
g03-loudoun,3,3,gpt-5.1,0.5,True,,29.315,0.0,0.0,17.08,5.0,0.235,7.0
g03-loudoun,3,4,gpt-5.1,0.5,True,,29.378,0.0,0.0,13.283,11.0,0.095,5.0
g03-loudoun,3,5,gpt-5.1,0.5,True,,35.092,42.49,2.89,18.971,5.0,0.121,11.0
g03-loudoun,3,6,gpt-5.1,0.5,True,,33.104,30.16,2.16,15.905,5.0,0.199,12.0
g03-loudoun,3,7,gpt-5.1,0.5,True,,34.319,27.07,2.72,18.109,7.0,0.21,9.0
g03-loudoun,3,8,gpt-5.1,0.5,True,,32.582,32.68,2.77,15.347,6.0,0.235,11.0
g03-loudoun,3,9,gpt-5.1,0.5,True,,32.306,28.34,2.68,16.096,5.0,0.21,11.0
g03-loudoun,4,0,gpt-5.1,0.5,True,,25.412,0.0,0.0,11.161,11.0,0.251,3.0
g03-loudoun,4,1,gpt-5.1,0.5,True,,27.921,0.0,0.0,10.611,10.0,0.31,7.0
g03-loudoun,4,2,gpt-5.1,0.5,True,,28.200000000000003,0.0,0.0,12.935,9.0,0.265,6.0
g03-loudoun,4,3,gpt-5.1,0.5,True,,29.315,0.0,0.0,17.08,5.0,0.235,7.0
g03-loudoun,4,4,gpt-5.1,0.5,True,,29.378,0.0,0.0,13.283,11.0,0.095,5.0
g03-loudoun,4,5,gpt-5.1,0.5,True,,30.226,29.15,2.49,17.953,5.0,0.273,7.0
g03-loudoun,4,6,gpt-5.1,0.5,True,,30.151,30.57,2.74,15.881,6.0,0.27,8.0
g03-loudoun,4,7,gpt-5.1,0.5,True,,43.135000000000005,37.34,2.74,21.952,7.0,0.183,14.0
